title,price,large_image,url
"TARÍN CAROLINE, Zafiro diamantes",1.380,https://tarin.es/wp-content/uploads/18-1-10.jpg,https://tarin.es/producto/tarin-caroline-zafiro-kanchanaburi/
"TARÍN INFINITY,Anillo diamantes",1.680,https://tarin.es/wp-content/uploads/matac6.jpg,https://tarin.es/producto/anillo-compromiso-cruzado-oro-rosa/
"TARÍN CAROLINE, Esmeralda y diamantes",2.680,https://tarin.es/wp-content/uploads/Tarin-Sept_1.jpg,https://tarin.es/producto/anillo-diamantes-esmeralda-2/
"TARÍN LUCE, Anillo de compromiso",4.700,https://tarin.es/wp-content/uploads/srac_5.jpg,https://tarin.es/producto/anillo-solitario-de-compromiso-luce/
"TARÍN CAROLINE, Aguamarina y diamantes",1.580,https://tarin.es/wp-content/uploads/300-1-3.jpg,https://tarin.es/producto/anillo-diamantes-aguamarina/
"TARÍN ELEGANCE, Alianza de zafiros",2.800,https://tarin.es/wp-content/uploads/Tarin-sortijas-web-1.jpg,https://tarin.es/producto/alianza-zafiros-cedro-elegance/
"TARÍN CLASSIC,Zafiro y diamantes",3.380,https://tarin.es/wp-content/uploads/S400.jpg,https://tarin.es/producto/anillo-de-compromiso-zafiro-talla-esmeralda/
"TARÍN LUCE, Anillo de compromiso",995,https://tarin.es/wp-content/uploads/stac_3.jpg,https://tarin.es/producto/solitario-mini-luce/
"TARÍN RIALTO, Alianza de diamantes Brown",3.590,https://tarin.es/wp-content/uploads/tarialto-2-editar.jpg,https://tarin.es/producto/sortija-de-diamantes-brown/
"TARÍN LITTLE QUEEN, Anillo de compromiso",980,https://tarin.es/wp-content/uploads/stac_6.jpg,https://tarin.es/producto/solitario-little-queen/
"TARÍN BLUE, Anillo de compromiso",1.790,https://tarin.es/wp-content/uploads/S403.jpg,https://tarin.es/producto/anillo-de-compromiso-iolita/
"TARÍN CLASSIC, Zafiro y diamantes",8.750,https://tarin.es/wp-content/uploads/486-1-127.jpg,https://tarin.es/producto/tarin-classic-zafiro-y-diamantes/
"TARÍN CAROLINE,  Rubí Diamantes",9.800,https://tarin.es/wp-content/uploads/18-1-15-scaled.jpg,https://tarin.es/producto/anillo-rubi/
"TARÍN CAROLINE, Anillo de diamantes y esmeralda",2.250,https://tarin.es/wp-content/uploads/76-1-121.jpg,https://tarin.es/producto/tarin-caroline-anillo-de-compromiso-esmeralda/
